z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
0,1,Neutron,0,608.9,s,0.3,β⁻,100.0,,782.0,0.0004
1,2,3H,0,12.3221,y,0.0106,β⁻,100.0,,18.5,6e-05
2,4,6He,0,807.12,ms,0.17,β⁻,100.0,,3500.0,0.0532
2,6,8He,0,119,ms,1.6,β⁻,100.0,,10600.0,0.1
3,5,8Li,0,838.79,ms,0.35,β⁻,100.0,,16000.0,0.0591
3,6,9Li,0,178,ms,0.3,β⁻,100.0,,13600.0,0.201
3,8,11Li,0,8.75,ms,0.1,β⁻,100.0,,20500.0,0.659
4,6,10Be,0,1.39e+06,y,1.16e+04,β⁻,100.0,,556.0,0.0822
4,7,11Be,0,13.77,s,0.07,β⁻,100.0,,11500.0,0.238
4,8,12Be,0,21.46,ms,0.05,β⁻,100.0,,11700.0,2.32
4,10,14Be,0,4.65,ms,0.12,β⁻,100.0,,16200.0,133.0
5,12,17B,0,5.07,ms,0.05,β⁻,100.0,,22600.0,204.0
5,14,19B,0,2.92,ms,0.13,β⁻,100.0,,27300.0,534.0
5,10,15B,0,10.18,ms,0.35,β⁻,100.0,,19000.0,21.0
5,7,12B,0,20.22,ms,0.04,β⁻,100.0,,13300.0,1.32
5,8,13B,0,17.16,ms,0.18,β⁻,100.0,,13400.0,1.0
5,9,14B,0,12.34,ms,0.27,β⁻,100.0,,20600.0,21.2
6,8,14C,0,5686,y,22,β⁻,100.0,,156.0,0.0037
6,9,15C,0,2.451,s,0.004,β⁻,100.0,,9770.0,0.8
6,14,20C,0,16,ms,3.0,β⁻,100.0,,15700.0,243.0
6,13,19C,0,46.3,ms,2.3,β⁻,100.0,,16500.0,99.7
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻,100.0,,21800.0,311.0
6,10,16C,0,750,ms,5,β⁻,100.0,,8010.0,4.25
6,12,18C,0,92,ms,2,β⁻,100.0,,11800.0,35.2
6,11,17C,0,193,ms,5,β⁻,100.0,,13100.0,22.9
7,15,22N,0,20.9,ms,2.1,β⁻,100.0,,22400.0,215.0
7,14,21N,0,85.3,ms,4.5,β⁻,100.0,,17100.0,134.0
7,16,23N,0,14.1,ms,+1.2-1.5,β⁻,100.0,,22000.0,437.0
7,11,18N,0,619,ms,2,β⁻,100.0,,13800.0,18.5
7,10,17N,0,4.171,s,0.003,β⁻,100.0,,8670.0,15.0
7,13,20N,0,136,ms,3,β⁻,100.0,,17900.0,78.8
