z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,spinAndParity,decayMode,branchingRatio,branchingRatioUncertainty,massExcess(keV),massExcessUncertainty,betaMinus,betaMinusUncertainty,electronCapture,electronCaptureUncertainty,positronEmission,positronEmissionUncertainty,neutronSeparationEnergy,neutronSeparationEnergyUncertainty,protonSeparationEnergy,protonSeparationEnergyUncertainty,alpha,alphaUncertainty,deltaAlpha,deltaAlphaUncertainty,twoNeutronSeparationEnergy,twoNeutronSeparationEnergyUncertainty,twoProtonSeparationEnergy,twoProtonSeparationEnergyUncertainty,doubleBetaMinus,doubleBetaMinusUncertainty,doubleElectronCapture,doubleElectronCaptureUncertainty,electronCaptureOneProtonEmission,electronCaptureOneProtonEmissionUncertainty,betaMinusOneNeutronEmission,betaMinusOneNeutronEmissionUncertainty,betaMinusTwoNeutronEmission,betaMinusTwoNeutronEmissionUncertainty,bindingEnergy,bindingEnergyUncertainty,bindingEnergyLDMFit,bindingEnergyLDMFitUncertainty,pairingGap,pairingGapUncertainty,firstExcitedStateEnergy,firstExcitedStateEnergyUncertainty,firstTwoPlusEnergy,firstTwoPlusEnergyUncertainty,firstThreeMinusEnergy,firstThreeMinusEnergyUncertainty,firstFourPlusEnergy,firstFourPlusEnergyUncertainty,firstFourPlusOverFirstTwoPlusEnergy,firstFourPlusOverFirstTwoPlusEnergyUncertainty,quadrupoleDeformation,quadrupoleDeformationUncertainty,BE4DBE2,BE4DBE2Uncertainty,thermalNeutronCapture,thermalNeutronFission,FY235U,FY235UUncertainty,FY239Pu,FY239PuUncertainty,FY252Cf,FY252CfUncertainty,FY238U,FY238UUncertainty,FY241U,FY241UUncertainty,cFY235U,cFY235UUncertainty,cFY239Pu,cFY239PuUncertainty,cFY252Cf,cFY252CfUncertainty,cFY238U,cFY238UUncertainty,cFY241U,cFY241UUncertainty,secondTwoPlusEnergy,secondTwoPlusEnergyUncertainty
0,1,Neutron,0,608.9,s,0.3,1/2+,β⁻,100.0,,8070.0,0.00044,782.0,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-24800.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3H,0,12.3221,y,0.0106,1/2+,β⁻,100.0,,14900.0,8e-05,18.5,6e-05,,,,,,,,,,,,,,,,,-13700.0,2000.0,,,,,,,,,2820.0,0.0003,-1880.0,0.0003,3920.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,6He,0,807.12,ms,0.17,0+,β⁻,100.0,,17500.0,0.053,3500.0,0.0532,-24200.0,254.0,-25300.0,254.0,,,,,,,,,,,,,-782.0,5.44,,,,,-2150.0,50.0,-23800.0,0.0749,4870.0,0.0089,-739.0,0.0089,1060.0,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,8He,0,119,ms,1.6,0+,β⁻,100.0,,31600.0,0.089,10600.0,0.1,,,,,,,,,,,,,,,,,26600.0,0.0955,,,,,8630.0,0.0887,1380.0,0.125,3920.0,0.0111,-2350.0,0.0111,1890.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,8Li,0,838.79,ms,0.35,2+,β⁻,100.0,,20900.0,0.047,16000.0,0.0591,-10600.0,0.1,-11600.0,0.1,,,,,-6100.0,100.0,-1950.0,50.0,,,,,-1970.0,1.0,,,-35400.0,1000.0,-2890.0,0.085,-13500.0,0.0664,5150.0,0.0059,-537.0,0.0059,1010.0,0.0989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,9Li,0,178,ms,0.3,3/2-,β⁻,100.0,,24900.0,0.186,13600.0,0.201,-15900.0,46.8,-17000.0,46.8,,,,,-10300.0,89.4,-227.0,44.7,,,,,12500.0,0.921,,,,,11900.0,0.189,-6950.0,0.263,5030.0,0.0207,-614.0,0.0207,2040.0,6.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,11Li,0,8.75,ms,0.1,3/2-,β⁻,100.0,,40700.0,0.615,20500.0,0.659,,,,,,,,,-10800.0,1000.0,-1680.0,502.0,,,,,32000.0,0.614,,,,,20000.0,0.62,13200.0,0.869,4150.0,0.0559,-1330.0,0.0559,302.0,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,10Be,0,1.39e+06,y,1.16e+04,0+,β⁻,100.0,,12600.0,0.081,556.0,0.0822,-20400.0,12.7,-21400.0,12.7,,,,,-7400.0,0.0966,-2300.0,0.063,,,,,-3090.0,0.107,-36500.0,92.8,-35600.0,46.8,-7880.0,0.9,-26400.0,0.114,6490.0,0.0081,65.3,0.0081,3150.0,0.137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,11Be,0,13.77,s,0.07,1/2+,β⁻,100.0,,20100.0,0.238,11500.0,0.238,-20500.0,0.659,-21500.0,0.659,,,,,-8320.0,7.56,-2200.0,3.8,,,,,9520.0,0.245,,,-36300.0,92.8,55.2,0.238,-8380.0,0.336,5950.0,0.0216,-262.0,0.0216,1330.0,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,12Be,0,21.46,ms,0.05,0+,β⁻,100.0,,25000.0,1.9,11700.0,2.32,-23900.0,30.0,-24900.0,30.0,,,,,-8950.0,1.91,-2420.0,2.24,,,,,25000.0,1.9,,,,,8330.0,1.9,-3110.0,2.69,5720.0,0.159,-318.0,0.159,1840.0,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,14Be,0,4.65,ms,0.12,0+,β⁻,100.0,,39900.0,132.0,16200.0,133.0,,,,,,,,,-11600.0,161.0,-2890.0,105.0,,,,,36900.0,132.0,,,,,15300.0,132.0,10400.0,187.0,4990.0,9.44,-884.0,9.44,1780.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,17B,0,5.07,ms,0.05,(3/2-),β⁻,100.0,,43700.0,204.0,22600.0,204.0,,,,,,,,,-15600.0,215.0,-2600.0,162.0,,,,,35800.0,204.0,,,,,21900.0,204.0,17700.0,288.0,5260.0,12.0,-687.0,12.0,735.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,19B,0,2.92,ms,0.13,(3/2-),β⁻,100.0,,59700.0,525.0,27300.0,534.0,,,,,,,,,,,,,,,,,43900.0,525.0,,,,,26700.0,526.0,22500.0,742.0,4710.0,27.6,-1110.0,27.6,826.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,15B,0,10.18,ms,0.35,3/2-,β⁻,100.0,,28900.0,21.0,19000.0,21.0,-20800.0,167.0,-21800.0,167.0,,,,,-14100.0,21.0,-665.0,16.9,,,,,28800.0,21.0,,,,,17800.0,21.0,9680.0,29.7,5880.0,1.4,-298.0,1.4,1430.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
