z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayMode,branchingRatio,branchingRatioUncertainty,betaMinus,betaMinusUncertainty
0,1,Neutron,0,608.9,s,0.3,β⁻,100,,7.82E+2,4.00E-4
1,2,3H,0,12.3221,y,0.0106,β⁻,100,,1.85E+1,6.00E-5
1,3,4H,0,3.3,MeV,0.3,n,100,,2.21E+4,1.00E+2
1,4,5H,0,5.3,MeV,0.4,2n,100,,2.16E+4,9.16E+1
1,5,6H,0,1.5,MeV,0.3,3n,100,,2.42E+4,2.54E+2
1,6,7H,0,0.18,MeV,+0.47-0.13,2n,,,2.30E+4,1.00E+3
1,6,7H,0,0.18,MeV,+0.47-0.13,4n,,,2.30E+4,1.00E+3
2,3,5He,0,719,keV,48,n,100,,-4.47E+2,5.38E+1
2,4,6He,0,807.12,ms,0.17,β⁻,100,,3.50E+3,5.32E-2
2,5,7He,0,195,keV,4,n,100,,1.11E+4,7.55
2,6,8He,0,119,ms,1.6,β⁻,100,,1.06E+4,1.00E-1
2,6,8He,0,119,ms,1.6,β⁻n,16,1,1.06E+4,1.00E-1
2,7,9He,0,180,keV,100,n,100,,1.59E+4,4.68E+1
2,8,10He,0,1.8,MeV,0.3,2n,100,,1.61E+4,9.37E+1
3,1,4Li,0,5,MeV,0.5,p,100,,,
3,2,5Li,0,1.23,MeV,0.0,p,100,,-2.54E+4,2.00E+3
3,5,8Li,0,838.79,ms,0.35,β⁻,100,,1.60E+4,5.91E-2
3,5,8Li,0,838.79,ms,0.35,β⁻ɑ,100,,1.60E+4,5.91E-2
3,6,9Li,0,178,ms,0.3,β⁻n,51,0.9,1.36E+4,2.01E-1
3,6,9Li,0,178,ms,0.3,β⁻,100,,1.36E+4,2.01E-1
3,6,9Li,0,178,ms,0.3,β⁻ɑ,12.3,0.9,1.36E+4,2.01E-1
3,7,10Li,0,0.23,MeV,<=,n,100,,2.04E+4,1.27E+1
3,8,11Li,0,8.75,ms,0.1,β⁻ɑ,1.7,0.3,2.05E+4,6.59E-1
3,8,11Li,0,8.75,ms,0.1,β⁻,100,,2.05E+4,6.59E-1
3,8,11Li,0,8.75,ms,0.1,β⁻2n,4.2,0.3,2.05E+4,6.59E-1
3,8,11Li,0,8.75,ms,0.1,β⁻3n,1.9,0.2,2.05E+4,6.59E-1
3,8,11Li,0,8.75,ms,0.1,β⁻n,84.3,1.3,2.05E+4,6.59E-1
3,9,12Li,0,,,,n,100,,2.39E+4,3.00E+1
3,10,13Li,0,125,keV,+60-40,2n,100,,2.33E+4,7.07E+1
4,2,6Be,0,92,keV,6,2p,100,,-2.89E+4,2.00E+3
4,3,7Be,0,53.3,d,0.1,ε,100,,-1.19E+4,2.51E+1
4,4,8Be,0,5.57,eV,0.25,ɑ,100,,-1.79E+4,1.00
4,6,10Be,0,1.39e+06,y,1.16e+04,β⁻,100,,5.56E+2,8.22E-2
4,7,11Be,0,13.77,s,0.07,B-p,0.000013,0.000003,1.15E+4,2.38E-1
4,7,11Be,0,13.77,s,0.07,β⁻,100,,1.15E+4,2.38E-1
4,7,11Be,0,13.77,s,0.07,β⁻ɑ,3.3,0.1,1.15E+4,2.38E-1
4,8,12Be,0,21.46,ms,0.05,β⁻,100,,1.17E+4,2.32
4,8,12Be,0,21.46,ms,0.05,β⁻n,0.5,0.03,1.17E+4,2.32
4,9,13Be,0,450,keV,30,n,,,1.70E+4,1.02E+1
4,11,15Be,0,580,keV,200,n,100,,2.08E+4,1.67E+2
4,12,16Be,0,0.8,MeV,+0.1-0.2,2n,100,,2.03E+4,1.67E+2
4,10,14Be,0,4.65,ms,0.12,β⁻ɑ,0.004,,1.62E+4,1.33E+2
4,10,14Be,0,4.65,ms,0.12,β⁻2n,5,2,1.62E+4,1.33E+2
4,10,14Be,0,4.65,ms,0.12,β⁻,100,,1.62E+4,1.33E+2
4,10,14Be,0,4.65,ms,0.12,β⁻n,86,6,1.62E+4,1.33E+2
5,12,17B,0,5.07,ms,0.05,β⁻,100,,2.26E+4,2.04E+2
5,12,17B,0,5.07,ms,0.05,β⁻2n,12,2,2.26E+4,2.04E+2
5,12,17B,0,5.07,ms,0.05,β⁻3n,3.5,0.7,2.26E+4,2.04E+2
5,12,17B,0,5.07,ms,0.05,β⁻4n,0.4,0.3,2.26E+4,2.04E+2
5,12,17B,0,5.07,ms,0.05,β⁻n,63,1,2.26E+4,2.04E+2
5,13,18B,0,,,,n,100,,2.68E+4,2.06E+2
5,14,19B,0,2.92,ms,0.13,β⁻3n,9.1,,2.73E+4,5.34E+2
5,14,19B,0,2.92,ms,0.13,β⁻2n,16,,2.73E+4,5.34E+2
5,14,19B,0,2.92,ms,0.13,β⁻,100,,2.73E+4,5.34E+2
5,14,19B,0,2.92,ms,0.13,β⁻n,71.8,,2.73E+4,5.34E+2
5,15,20B,0,500,keV,<=,n,100,,3.18E+4,5.93E+2
5,16,21B,0,600,keV,<=,2n,100,,3.27E+4,8.17E+2
5,10,15B,0,10.18,ms,0.35,β⁻n,99.68,,1.90E+4,2.10E+1
5,10,15B,0,10.18,ms,0.35,β⁻2n,1.5,,1.90E+4,2.10E+1
5,10,15B,0,10.18,ms,0.35,β⁻,100,,1.90E+4,2.10E+1
5,11,16B,0,100,keV,<,n,100,,2.34E+4,2.48E+1
5,2,7B,0,801,keV,20,p,100,,,
5,3,8B,0,772.1,ms,1.1,εɑ,100,,-1.21E+4,1.82E+1
5,3,8B,0,772.1,ms,1.1,ε+β+,100,,-1.21E+4,1.82E+1
5,4,9B,0,540,eV,210,p,100,,-1.64E+4,2.31
5,7,12B,0,20.22,ms,0.04,β⁻,100,,1.33E+4,1.32
5,7,12B,0,20.22,ms,0.04,β⁻ɑ,0.6,0.02,1.33E+4,1.32
5,8,13B,0,17.16,ms,0.18,β⁻,100,,1.34E+4,1.00
5,8,13B,0,17.16,ms,0.18,β⁻n,0.266,0.025,1.34E+4,1.00
5,9,14B,0,12.34,ms,0.27,β⁻,100,,2.06E+4,2.12E+1
5,9,14B,0,12.34,ms,0.27,β⁻n,6.04,0.23,2.06E+4,2.12E+1
6,2,8C,0,130,keV,50,2p,100,,,
6,3,9C,0,126.5,ms,0.9,εɑ,37.9,5.8,,
6,3,9C,0,126.5,ms,0.9,ε+β+,100,,,
6,3,9C,0,126.5,ms,0.9,εp,62,1.9,,
6,4,10C,0,19.3015,s,0.0018,ε+β+,100,,-2.31E+4,4.00E+2
6,5,11C,0,20.3401,m,0.0041,ε+β+,100,,-1.37E+4,5.00
6,8,14C,0,5686,y,22,β⁻,100,,1.56E+2,3.70E-3
6,9,15C,0,2.451,s,0.004,β⁻,100,,9.77E+3,8.00E-1
6,14,20C,0,16,ms,3.0,β⁻n,66,10,1.57E+4,2.43E+2
6,14,20C,0,16,ms,3.0,β⁻2n,18.6,,1.57E+4,2.43E+2
6,14,20C,0,16,ms,3.0,β⁻,100,,1.57E+4,2.43E+2
6,13,19C,0,46.3,ms,2.3,β⁻n,47,3,1.65E+4,9.97E+1
6,13,19C,0,46.3,ms,2.3,β⁻2n,7,3,1.65E+4,9.97E+1
6,13,19C,0,46.3,ms,2.3,β⁻,100,,1.65E+4,9.97E+1
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻n,61,,2.18E+4,3.11E+2
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻2n,37,,2.18E+4,3.11E+2
6,16,22C,0,6.1,ms,+1.4-1.2,β⁻,100,,2.18E+4,3.11E+2
6,10,16C,0,750,ms,5,β⁻,100,,8.01E+3,4.25
6,10,16C,0,750,ms,5,β⁻n,99.28,0.12,8.01E+3,4.25
6,12,18C,0,92,ms,2,β⁻n,31.5,1.5,1.18E+4,3.52E+1
6,12,18C,0,92,ms,2,β⁻,100,,1.18E+4,3.52E+1
