np,nn,delta,I,betaMinusQ,betaMinusQUncertainty,halflife_log_sec,halflife_log_sec_uncertainty,J_i,parity_i,flag_i,J_f,parity_f,flag_f,delta_J,delta_parity
52,82,-1,0.22388059701492538,3.1760912590556813,0.0014273811971886876,3.399327532158679,0.008311856112980897,0.0,1,0,4.0,1,1,4.0,1
24,35,0,0.1864406779661017,3.8692317197309762,0.00014202603327106343,0.021189299069938092,0.03722524130599301,0.5,-1,1,2.5,-1,0,2.0,1
40,60,-1,0.2,3.5327543789924976,0.001439157667304031,0.8512583487190752,0.024467294755112782,0.0,1,0,1.0,1,0,1.0,1
48,80,-1,0.25,3.8419848045901137,0.0004099240001849398,-0.6092414712612828,0.0033556710679795783,0.0,1,0,3.0,1,1,3.0,1
41,69,1,0.2545454545454545,4.086359830674748,0.029831047199584015,-1.1249387366083,0.005790593092043357,6.0,-1,1,0.0,1,0,6.0,-1
79,124,0,0.22167487684729065,3.326335860928751,0.0007067528125312353,1.7781512503836436,0.043429448190325175,1.5,1,0,2.5,-1,0,1.0,-1
64,98,-1,0.20987654320987653,3.2013971243204513,0.0012182096787978006,2.701913211212344,0.010352669413665121,0.0,1,0,1.0,-1,0,1.0,-1
22,37,0,0.2542372881355932,4.068185861746161,0.012249331540860947,-1.5451551399914898,0.028952965460216782,0.0,0,2,0.0,0,2,-1.0,0
46,75,0,0.2396694214876033,3.9148718175400505,0.0006604234822129742,-0.5376020021010439,0.0014975671789767303,0.0,0,2,3.5,1,1,-1.0,0
101,159,1,0.2230769230769231,2.9731278535996988,0.1727937619487406,6.438940862463326,0.00682852958967377,0.0,0,2,0.0,1,0,-1.0,0
52,80,-1,0.21212121212121213,2.711807229041191,0.00293465009130741,5.442206249891093,0.0017621186843764895,0.0,1,0,4.0,1,0,4.0,1
33,49,1,0.1951219512195122,3.8739015978644615,0.00021772784854775322,1.2810333672477277,0.011368965494849522,2.0,-1,1,0.0,1,0,2.0,-1
23,40,0,0.2698412698412698,4.158362492095249,0.010465290640307526,-1.7077439286435239,0.01994209355678197,1.5,-1,1,0.0,0,2,-1.0,0
86,141,0,0.2422907488986784,3.505149978319906,0.002062898789040446,1.3180633349627615,0.014615679679436356,1.5,1,1,0.5,1,0,1.0,1
56,94,-1,0.25333333333333335,3.807535028068853,0.00042008858763538837,-0.5883802940367698,0.008416559726807205,0.0,1,0,3.0,1,1,3.0,1
79,117,1,0.19387755102040816,2.8369567370595505,0.0019660201436959433,5.725812353638334,0.0007689749598351924,2.0,-1,0,0.0,0,2,-1.0,0
21,34,0,0.23636363636363636,4.037426497940624,0.002737250541903982,-1.0362121726544447,0.01888236877840225,3.5,-1,1,0.5,-1,1,3.0,1
49,70,0,0.17647058823529413,3.3729120029701067,0.0013488892170978118,2.1583624920952498,0.018095603412635494,4.5,1,0,5.5,-1,0,1.0,-1
11,19,1,0.26666666666666666,4.238046103128795,0.0001230082636604586,-1.348721986001856,0.011632887908122816,2.0,1,0,0.0,1,0,2.0,1
88,142,-1,0.23478260869565218,2.8305886686851442,0.012060171727889413,3.7466341989375787,0.009339666277489285,0.0,1,0,1.0,1,1,1.0,1
43,61,1,0.17307692307692307,3.747411807886423,0.0019345138818230713,3.0382226383687185,0.004772466834101668,3.0,1,1,0.0,0,2,-1.0,0
81,127,1,0.22115384615384615,3.6981005456233897,0.00014447471742673305,2.2628780546823055,0.0004267551410775485,5.0,1,0,0.0,0,2,-1.0,0
57,90,0,0.22448979591836735,3.7267272090265724,0.00111629163265939,0.604657972047871,0.0011871867050039188,2.5,1,1,2.5,-1,1,0.0,-1
28,44,-1,0.2222222222222222,3.7442929831226763,0.00020580080854154095,0.19589965240923377,0.013831034455517572,0.0,1,0,2.0,-1,0,2.0,-1
